iter	Passed	Remaining
465	714	819
466	715	816
467	716	814
468	717	812
469	718	810
470	719	807
471	720	805
472	720	803
473	721	800
474	722	798
475	723	796
476	724	794
477	725	792
478	726	790
479	727	788
480	728	786
481	729	783
482	730	781
483	731	779
484	732	777
485	733	775
486	733	773
487	734	770
488	735	768
489	736	766
490	737	764
491	738	762
492	739	760
493	740	758
494	741	756
495	742	754
496	743	752
497	744	750
498	745	748
499	746	746
500	747	744
501	748	742
502	749	740
503	750	738
504	751	736
505	752	734
506	753	732
507	754	730
508	755	728
509	755	726
510	756	724
511	757	722
512	758	720
513	759	718
514	760	716
515	761	714
516	762	712
517	763	710
518	764	708
519	765	706
520	766	704
521	766	702
522	767	700
523	768	698
524	769	696
525	770	694
526	771	692
527	772	690
528	773	688
529	773	686
530	774	684
531	775	682
532	776	680
533	777	678
534	778	676
535	779	674
536	780	672
537	781	670
538	781	668
539	782	666
540	783	664
541	784	663
542	785	661
543	786	659
544	787	657
545	788	655
546	788	653
547	790	651
548	790	649
549	791	647
550	792	646
551	793	644
552	795	642
553	795	640
554	796	638
555	797	637
556	798	635
557	799	633
558	800	631
559	801	629
560	802	628
561	803	626
562	805	625
563	807	623
564	807	622
565	808	620
566	809	618
567	810	616
568	811	614
569	812	613
570	813	611
571	814	609
572	815	607
573	816	605
574	817	604
575	818	602
576	819	600
577	820	598
578	821	597
579	822	595
580	823	593
581	824	591
582	825	590
583	825	588
584	826	586
585	827	584
586	828	583
587	829	581
588	830	579
589	831	577
590	832	576
591	833	574
592	834	572
593	835	571
594	836	569
595	837	567
596	837	565
597	838	563
598	839	562
599	840	560
600	841	558
601	842	556
602	843	555
603	844	553
604	845	551
605	845	549
606	846	548
607	847	546
608	848	544
609	849	543
610	850	541
611	850	539
612	851	537
613	852	536
614	853	534
615	855	533
616	856	531
617	857	529
618	858	528
619	859	526
620	860	524
621	860	523
622	861	521
623	862	519
624	863	517
625	864	516
626	865	514
627	866	513
628	867	511
629	868	509
630	869	508
631	869	506
632	870	504
633	871	503
634	872	501
635	873	499
636	874	498
637	874	496
638	875	494
639	876	493
640	877	491
641	878	489
642	880	488
643	881	487
644	882	485
645	883	484
646	884	482
647	885	481
648	886	479
649	887	477
650	888	476
651	889	474
652	889	472
653	890	471
654	891	469
655	892	468
656	893	466
657	894	465
658	895	463
659	896	462
660	897	460
661	898	458
662	899	457
663	900	455
664	901	453
665	902	452
666	902	450
667	903	449
668	904	447
669	905	446
670	906	444
671	907	442
672	908	441
673	909	439
674	910	438
675	911	436
676	912	435
677	913	433
678	914	432
679	915	430
680	916	429
681	917	427
682	918	426
683	918	424
684	919	422
685	920	421
686	922	420
687	922	418
688	923	417
689	924	415
690	925	414
691	927	412
692	928	411
693	929	409
694	930	408
695	931	406
696	932	405
697	933	403
698	934	402
699	934	400
700	936	399
701	937	397
702	937	396
703	938	394
704	939	393
705	940	391
706	941	390
707	942	388
708	943	387
709	944	385
710	945	384
711	946	383
712	947	381
713	948	380
714	949	378
715	950	377
716	951	375
717	952	374
718	953	372
719	954	371
720	954	369
721	956	368
722	957	366
723	958	365
724	959	363
725	960	362
726	961	361
727	962	359
728	964	358
729	965	356
730	966	355
731	966	353
732	967	352
733	968	350
734	969	349
735	970	347
736	971	346
737	972	345
738	972	343
739	973	342
740	975	340
741	975	339
742	976	337
743	977	336
744	979	335
745	979	333
746	980	332
747	981	330
748	982	329
749	983	327
750	984	326
751	985	324
752	986	323
753	987	322
754	989	320
755	989	319
756	990	318
757	991	316
758	992	315
759	993	313
760	994	312
761	995	310
762	996	309
763	997	308
764	998	306
765	999	305
766	999	303
767	1000	302
768	1001	300
769	1002	299
770	1003	298
771	1004	296
772	1005	295
773	1006	293
774	1007	292
775	1008	291
776	1009	289
777	1010	288
778	1010	286
779	1011	285
780	1012	283
781	1013	282
782	1014	281
783	1015	279
784	1017	278
785	1018	277
786	1019	275
787	1020	274
788	1020	272
789	1021	271
790	1023	270
791	1024	268
792	1025	267
793	1026	266
794	1027	264
795	1028	263
796	1029	262
797	1030	260
798	1031	259
799	1033	258
800	1034	257
801	1035	255
802	1036	254
803	1037	252
804	1038	251
805	1040	250
806	1041	249
807	1042	247
808	1043	246
809	1044	245
810	1045	243
811	1046	242
812	1047	241
813	1048	239
814	1050	238
815	1051	237
816	1052	235
817	1052	234
818	1053	232
819	1054	231
820	1055	230
821	1056	228
822	1057	227
823	1057	225
824	1058	224
825	1059	223
826	1060	221
827	1061	220
828	1062	219
829	1063	217
830	1064	216
831	1064	215
832	1065	213
833	1066	212
834	1067	210
835	1068	209
836	1069	208
837	1069	206
838	1070	205
839	1071	204
840	1072	202
841	1073	201
842	1074	200
843	1074	198
844	1075	197
845	1077	196
846	1078	194
847	1079	193
848	1080	192
849	1081	190
850	1081	189
851	1082	188
852	1083	186
853	1084	185
854	1085	184
855	1086	182
856	1087	181
857	1088	180
858	1089	178
859	1090	177
860	1091	176
861	1092	174
862	1093	173
863	1094	172
864	1095	170
865	1096	169
866	1097	168
867	1098	167
868	1099	165
869	1100	164
870	1100	163
871	1101	161
872	1102	160
873	1103	159
874	1104	157
875	1105	156
876	1106	155
877	1107	153
878	1108	152
879	1109	151
880	1110	150
881	1111	148
882	1112	147
883	1113	146
884	1114	144
885	1115	143
886	1115	142
887	1116	140
888	1117	139
889	1118	138
890	1119	136
891	1120	135
892	1121	134
893	1123	133
894	1124	131
895	1125	130
896	1126	129
897	1127	128
898	1128	126
899	1129	125
900	1129	124
901	1130	122
902	1131	121
903	1132	120
904	1133	119
905	1134	117
906	1135	116
907	1136	115
908	1137	113
909	1138	112
910	1139	111
911	1140	110
912	1142	108
913	1143	107
914	1144	106
915	1145	105
916	1146	103
917	1146	102
918	1147	101
919	1148	99
920	1149	98
921	1150	97
922	1151	96
923	1151	94
924	1153	93
925	1154	92
926	1155	90
927	1156	89
928	1157	88
929	1158	87
930	1159	85
931	1160	84
932	1161	83
933	1162	82
934	1162	80
935	1163	79
936	1164	78
937	1165	77
938	1166	75
939	1167	74
940	1168	73
941	1169	71
942	1170	70
943	1170	69
944	1171	68
945	1172	66
946	1173	65
947	1174	64
948	1175	63
949	1176	61
950	1177	60
951	1178	59
952	1179	58
953	1180	56
954	1181	55
955	1182	54
956	1183	53
957	1184	51
958	1185	50
959	1186	49
960	1186	48
961	1187	46
962	1188	45
963	1189	44
964	1190	43
965	1191	41
966	1192	40
967	1193	39
968	1194	38
969	1194	36
970	1195	35
971	1196	34
972	1197	33
973	1198	32
974	1199	30
975	1200	29
976	1201	28
977	1202	27
978	1203	25
979	1204	24
980	1205	23
981	1206	22
982	1207	20
983	1207	19
984	1208	18
985	1209	17
986	1210	15
987	1211	14
988	1211	13
989	1212	12
990	1214	11
991	1215	9
992	1216	8
993	1216	7
994	1217	6
995	1218	4
996	1219	3
997	1220	2
998	1221	1
999	1222	0
